Sector Code,Sector Name,Terrain Type,Is Landing Sector,Is City,Is Flooded,Starting Controller,Current Controller,Allied Supply Source,Axis Supply Source,Adjacent Sectors,Last Changed Date,Last Changed Game ID
Utah,Utah Beach,Beach,TRUE,FALSE,FALSE,Allied,Allied,TRUE,FALSE,"A2,B1,B2",,,
Omaha,Omaha Beach,Beach,TRUE,FALSE,FALSE,Allied,Allied,TRUE,FALSE,"B2,C1,C2",,,
Gold,Gold Beach,Beach,TRUE,FALSE,FALSE,Allied,Allied,TRUE,FALSE,"C2,D1,D2",,,
Juno,Juno Beach,Beach,TRUE,FALSE,FALSE,Allied,Allied,TRUE,FALSE,"D2,E1,E2",,,
Sword,Sword Beach,Beach,TRUE,FALSE,FALSE,Allied,Allied,TRUE,FALSE,"E2,F1,F2",,,
A2,Sector A2,Flooded,FALSE,FALSE,TRUE,Axis,Axis,FALSE,FALSE,"Utah,A3,B2,B3",,,
A3,Sector A3,Flooded,FALSE,FALSE,TRUE,Axis,Axis,FALSE,FALSE,"A2,A4,B3,B4",,,
A4,Sector A4,Bocage,FALSE,FALSE,FALSE,Axis,Axis,FALSE,FALSE,"A3,A5,B4,B5",,,
A5,Sector A5,Bocage,FALSE,FALSE,FALSE,Axis,Axis,FALSE,FALSE,"A4,A6,B5,B6",,,
A6,Sector A6,Bocage,FALSE,FALSE,FALSE,Axis,Axis,FALSE,FALSE,"A5,A7,B6,B7",,,
A7,Sector A7,Bocage,FALSE,FALSE,FALSE,Axis,Axis,FALSE,FALSE,"A6,B7",,,
B1,Sector B1,Farmland,FALSE,FALSE,FALSE,Axis,Axis,FALSE,FALSE,"Utah,B2,C1",,,
B2,Sector B2,Farmland,FALSE,FALSE,FALSE,Axis,Axis,FALSE,FALSE,"Utah,Omaha,A2,B1,B3,C2",,,
B3,Sector B3,Flooded,FALSE,FALSE,TRUE,Axis,Axis,FALSE,FALSE,"A2,A3,B2,B4,C3",,,
B4,Sector B4,Bocage,FALSE,FALSE,FALSE,Axis,Axis,FALSE,FALSE,"A3,A4,B3,B5,C4",,,
B5,Sector B5,Bocage,FALSE,FALSE,FALSE,Axis,Axis,FALSE,FALSE,"A4,A5,B4,B6,C5",,,
B6,Sector B6,Bocage,FALSE,FALSE,FALSE,Axis,Axis,FALSE,FALSE,"A5,A6,B5,B7,C6",,,
